Cars,Model,Dist per km,Fuel,Transmission,Registration,EMI Per Month,Sale City,Manufacturing_Year,Reg_State,Other charges,Actual Price in Lakhs,Discounted Price in Lakhs,Car Age,Discount Amount,Discount %,Brand
Maruti Alto K10, VXI,48518,Petrol,Manual,GJ-12,3763.0,Ahmedabad,2019,Gujarat,Included,2.38,2.13,7,0.25,10.5,Maruti
Renault Kwid, CLIMBER 1.0 AMT,66034,Petrol,Auto,GJ-03,4218.0,Ahmedabad,2017,Gujarat,Included,2.16,2.16,9,0.0,0.0,Renault
Renault Kwid, RXE,55916,Petrol,Manual,GJ-09,4871.0,Ahmedabad,2021,Gujarat,Included,3.27,2.76,5,0.51,15.6,Renault
KIA SELTOS, GTK 1.4 PETROL,80983,Petrol,Manual,GJ-01,12191.0,Ahmedabad,2019,Gujarat,Included,8.77,6.91,7,1.86,21.21,KIA
Hyundai Creta, SX PLUS 1.6 PETROL,77726,Diesel,Manual,KA-02,14423.0,bangalore,2017,Karnataka,Included,7.38,7.38,9,0.0,0.0,Hyundai
Renault Kwid, RXT 1.0,47758,Petrol,Manual,KA-32,5161.0,bangalore,2016,Karnataka,Included,2.66,2.32,10,0.34,12.78,Renault
Maruti Swift, ZXI,62641,CNG,Manual,KA-05,9480.0,bangalore,2018,Karnataka,Included,5.65,5.37,8,0.28,4.96,Maruti
Hyundai Grand i10, 1.2 SPORTZ PRIME EDITION VTVT,68576,Petrol,Manual,KA-20,7118.0,bangalore,2016,Karnataka,Included,3.88,3.2,10,0.68,17.53,Hyundai
Hyundai VENUE, SX 1.0 TURBO IMT,31386,Petrol,Manual,KA-01,13151.0,bangalore,2021,Karnataka,Included,7.59,7.45,5,0.14,1.84,Hyundai
Maruti Swift, ZXi Plus Dual Tone AMT,25054,Petrol,Auto,KA-05,13434.0,bangalore,2024,Karnataka,Included,8.4,7.61,2,0.79,9.4,Maruti
Maruti Baleno, ZETA CVT PETROL 1.2,57289,Petrol,Auto,KA-53,10521.0,bangalore,2019,Karnataka,Included,5.96,5.96,7,0.0,0.0,Maruti
Hyundai NEW I20, SPORTZ 1.2 MT,20334,Petrol,Manual,KA-19,12148.0,bangalore,2023,Karnataka,Included,6.88,6.88,3,0.0,0.0,Hyundai
