Cars,Model,Dist,Fuel,Transmission,Registration,EMI,Price,Sale City,Unnamed: 0
2013 Volkswagen Vento, HIGHLINE DIESEL 1.6,"1,25,966 km",Diesel,Manual,PB-02,"EMI ₹16,970/m*",₹1.91 lakh,Chandigarh,
2014 Renault Duster, 110 PS RXL DIESEL,"1,18,951 km",Diesel,Manual,HR-12,"EMI ₹11,298/m*",₹2.40 lakh,Chandigarh,
2016 Mahindra TUV300, T8,"1,51,716 km",Diesel,Manual,JH-05,"EMI ₹10,797/m*",₹4.10 lakh,Chandigarh,
2024 Tata Harrier, ADVENTURE,"31,026 km",Diesel,Manual,PB-65,"EMI ₹27,396/m*",₹16.00 lakh,Chandigarh,
2019 Maruti Baleno, DELTA PETROL 1.2,"1,13,031 km",Petrol,Manual,PB-06,"EMI ₹8,453/m*",₹3.80 lakh,Chandigarh,
2016 Maruti Swift, LXI (O),"13,644 km",Petrol,Manual,HR-01,"EMI ₹6,451/m*",₹2.90 lakh,Chandigarh,
2013 Honda City, 1.5L I-VTEC S MT,"1,71,763 km",Petrol,Manual,UK-07,"EMI ₹10,921/m*",₹2.32 lakh,Chandigarh,
2021 Hyundai AURA, S 1.2 CNG,"2,04,240 km",CNG,Manual,CH-01,"EMI ₹7,341/m*",₹3.30 lakh,Chandigarh,
2024 Maruti Swift, VXI,"32,722 km",Petrol,Manual,PB-10,"EMI ₹10,892/m*",₹6.17 lakh,Chandigarh,
2012 Maruti Ritz, LXI,"85,282 km",Petrol,Manual,DL-6C,"EMI ₹12,705/m*",₹1.43 lakh,Chandigarh,
2015 Tata Zest, XE 75PS DIESEL,"73,115 km",Diesel,Manual,DL-11,"EMI ₹5,115/m*",₹1.54 lakh,Chandigarh,
2019 Renault Kwid, RXT 1.0 (O),"42,793 km",Petrol,Manual,HR-03,"EMI ₹3,584/m*",₹2.20L₹2.03 lakh+ other charges,Delhi,0.0
2023 Maruti Baleno, DELTA PETROL 1.2,"38,618 km",Petrol,Manual,DL-10,"EMI ₹9,232/m*",₹5.23 lakh+ other charges,Delhi,1.0
2021 Nissan MAGNITE, XL,"64,701 km",Petrol,Manual,HR-15,"EMI ₹6,726/m*",₹4.27L₹3.81 lakh+ other charges,Delhi,2.0
2017 Renault Kwid, RXT 1.0,"61,347 km",Petrol,Manual,HR-87,"EMI ₹3,245/m*",₹2.04L₹1.66 lakh+ other charges,Delhi,3.0
2018 Renault Kwid, RXL,"60,101 km",Petrol,Manual,HR-51,"EMI ₹2,892/m*",₹1.89L₹1.64 lakh+ other charges,Delhi,4.0
2018 Renault Kwid, RXT 0.8,"62,135 km",Petrol,Manual,UP-80,"EMI ₹2,879/m*",₹2.42L₹1.63 lakh+ other charges,Delhi,5.0
2017 Renault Kwid, RXT 0.8,"41,654 km",Petrol,Manual,HR-79,"EMI ₹2,929/m*",₹2.50L₹1.50 lakh+ other charges,Delhi,6.0
2019 Tata Tiago, XZ PETROL,"82,748 km",Petrol,Manual,DL-9C,"EMI ₹4,501/m*",₹3.09L₹2.55 lakh+ other charges,Delhi,7.0
2017 Maruti Swift, LXI (O),"79,321 km",Petrol,Manual,DL-8C,"EMI ₹4,886/m*",₹2.70L₹2.50 lakh+ other charges,Delhi,8.0
2015 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"51,717 km",Petrol,Manual,DL-8C,"EMI ₹6,136/m*",₹2.68L₹2.33 lakh+ other charges,Delhi,9.0
2018 Honda Amaze, 1.2L I-VTEC VX,"63,933 km",Petrol,Manual,DL-11,"EMI ₹6,690/m*",₹4.24L₹3.79 lakh+ other charges,Delhi,10.0
2016 Renault Kwid, RXT 0.8,"80,136 km",Petrol,Manual,DL-8C,"EMI ₹3,403/m*",₹2.15L₹1.53 lakh+ other charges,Delhi,11.0
2015 Maruti Wagon R 1.0, LXI,"63,611 km",Petrol,Manual,DL-9C,"EMI ₹4,529/m*",₹2.05L₹1.72 lakh+ other charges,Delhi,12.0
2022 Maruti Swift, LXI,"66,173 km",Petrol,Manual,HR-14,"EMI ₹7,432/m*",₹4.37L₹4.21 lakh+ other charges,Delhi,13.0
2016 Renault Kwid, 1.0 MARVEL IRON MAN EDITION,"92,514 km",Petrol,Manual,HR-29,"EMI ₹3,960/m*",₹2.38L₹1.78 lakh+ other charges,Delhi,14.0
2022 KIA SELTOS, HTK 1.5 PETROL,"43,539 km",Petrol,Manual,HR-16,"EMI ₹13,243/m*",₹8.64L₹7.50 lakh+ other charges,Delhi,15.0
2019 Ford FREESTYLE, AMBIENTE 1.5 DIESEL,"55,165 km",Diesel,Manual,UP-25,"EMI ₹9,931/m*",₹4.99L₹2.99 lakh+ other charges,Delhi,16.0
2022 Tata NEXON, XZ PLUS (L) DARK EDITION,"55,797 km",Petrol,Manual,UP-27,"EMI ₹13,240/m*",₹8.04L₹7.50 lakh+ other charges,Delhi,17.0
2019 Maruti New Wagon-R, VXI 1.2,"46,641 km",Petrol,Manual,DL-2C,"EMI ₹5,886/m*",₹3.33 lakh+ other charges,Delhi,18.0
